Model selection results for subset: 529bf31ba5aabf57187213952eaf11f9
Subset alignment stored here: ./analysis/phylofiles/529bf31ba5aabf57187213952eaf11f9.phy
This subset contains the following data_blocks: gyrB, rpoB
Number of columns in subset: 1923
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
DAYHOFF+F       | 19              | -14466.162      | 28970.723        | 28970.324       | 29075.996      
DAYHOFF+G+F     | 20              | -14466.187      | 28972.814        | 28972.373       | 29083.605      
DAYHOFF+I+F     | 20              | -14466.244      | 28972.93         | 28972.488       | 29083.72       
DCMUT+I+G+F     | 21              | -14465.722      | 28973.93         | 28973.443       | 29090.238      
DAYHOFF+I+G+F   | 21              | -14469.375      | 28981.236        | 28980.75        | 29097.545      
WAG             | 0               | -14537.499      | 29074.998        | 29074.998       | 29074.998      
WAG+G           | 1               | -14537.513      | 29077.027        | 29077.025       | 29082.588      
WAG+I           | 1               | -14537.593      | 29077.188        | 29077.186       | 29082.748      
WAG+I+G         | 2               | -14541.543      | 29087.092        | 29087.086       | 29098.209      
JTT             | 0               | -14634.961      | 29269.922        | 29269.922       | 29269.922      
JTT+G           | 1               | -14634.982      | 29271.967        | 29271.965       | 29277.527      
JTT+I           | 1               | -14635.051      | 29272.104        | 29272.102       | 29277.664      
JTT+I+G         | 2               | -14638.785      | 29281.576        | 29281.57        | 29292.693      
LG              | 0               | -14711.541      | 29423.082        | 29423.082       | 29423.082      
LG+G            | 1               | -14711.549      | 29425.1          | 29425.098       | 29430.66       
LG+I            | 1               | -14711.625      | 29425.252        | 29425.25        | 29430.812      
LG+I+G          | 2               | -14715.203      | 29434.412        | 29434.406       | 29445.53       
MTREV+F         | 19              | -14704.833      | 29448.064        | 29447.666       | 29553.338      
MTREV+G+F       | 20              | -14704.855      | 29450.152        | 29449.71        | 29560.943      
MTREV+I+F       | 20              | -14704.914      | 29450.27         | 29449.828       | 29561.06       
MTREV+I+G+F     | 21              | -14707.696      | 29457.879        | 29457.393       | 29574.188      
HIVB+F          | 19              | -14745.748      | 29529.895        | 29529.496       | 29635.168      
HIVB+G+F        | 20              | -14745.767      | 29531.975        | 29531.533       | 29642.766      
HIVB+I+F        | 20              | -14745.805      | 29532.05         | 29531.61        | 29642.842      
CPREV           | 0               | -14766.073      | 29532.146        | 29532.146       | 29532.146      
CPREV+G         | 1               | -14766.096      | 29534.193        | 29534.191       | 29539.754      
CPREV+I         | 1               | -14766.156      | 29534.314        | 29534.312       | 29539.875      
HIVB+I+G+F      | 21              | -14748.797      | 29540.08         | 29539.594       | 29656.389      
CPREV+I+G       | 2               | -14769.607      | 29543.22         | 29543.215       | 29554.338      
RTREV           | 0               | -14827.985      | 29655.97         | 29655.97        | 29655.97       
RTREV+G         | 1               | -14828.006      | 29658.014        | 29658.012       | 29663.574      
RTREV+I         | 1               | -14828.07       | 29658.143        | 29658.14        | 29663.703      
RTREV+I+G       | 2               | -14831.63       | 29667.266        | 29667.26        | 29678.383      
DCMUT           | 0               | -14861.094      | 29722.188        | 29722.188       | 29722.188      
DCMUT+G         | 1               | -14861.107      | 29724.217        | 29724.215       | 29729.777      
DCMUT+I         | 1               | -14861.177      | 29724.355        | 29724.354       | 29729.916      
DAYHOFF         | 0               | -14864.356      | 29728.713        | 29728.713       | 29728.713      
DAYHOFF+G       | 1               | -14864.372      | 29730.746        | 29730.744       | 29736.307      
DAYHOFF+I       | 1               | -14864.44       | 29730.883        | 29730.88        | 29736.443      
DCMUT+I+G       | 2               | -14864.478      | 29732.96         | 29732.955       | 29744.078      
DAYHOFF+I+G     | 2               | -14867.73       | 29739.467        | 29739.46        | 29750.584      
HIVW+F          | 19              | -15004.518      | 30047.434        | 30047.035       | 30152.707      
HIVW+G+F        | 20              | -15004.524      | 30049.49         | 30049.049       | 30160.281      
HIVW+I+F        | 20              | -15004.57       | 30049.582        | 30049.14        | 30160.373      
HIVW+I+G+F      | 21              | -15006.914      | 30056.314        | 30055.828       | 30172.623      
HIVB            | 0               | -15176.21       | 30352.42         | 30352.42        | 30352.42       
HIVB+G          | 1               | -15176.2295     | 30354.46         | 30354.459       | 30360.021      
HIVB+I          | 1               | -15176.273      | 30354.549        | 30354.547       | 30360.11       
HIVB+I+G        | 2               | -15179.054      | 30362.113        | 30362.107       | 30373.23       
MTMAM+F         | 19              | -15351.092      | 30740.582        | 30740.184       | 30845.855      
MTMAM+I+F       | 20              | -15351.1045     | 30742.65         | 30742.209       | 30853.441      
MTMAM+G+F       | 20              | -15351.119      | 30742.68         | 30742.238       | 30853.47       
MTMAM+I+G+F     | 21              | -15351.833      | 30746.152        | 30745.666       | 30862.46       
MTART+F         | 19              | -15650.85       | 31340.098        | 31339.7         | 31445.371      
MTART+G+F       | 20              | -15650.414      | 31341.27         | 31340.828       | 31452.06       
MTART+I+F       | 20              | -15650.847      | 31342.135        | 31341.693       | 31452.926      
MTART+I+G+F     | 21              | -15650.432      | 31343.35         | 31342.863       | 31459.658      
HIVW            | 0               | -15852.133      | 31704.266        | 31704.266       | 31704.266      
HIVW+G          | 1               | -15852.168      | 31706.338        | 31706.336       | 31711.898      
HIVW+I          | 1               | -15852.18       | 31706.361        | 31706.36        | 31711.922      
HIVW+I+G        | 2               | -15854.146      | 31712.299        | 31712.293       | 31723.416      
MTREV           | 0               | -16059.917      | 32119.834        | 32119.834       | 32119.834      
MTREV+G         | 1               | -16059.946      | 32121.895        | 32121.893       | 32127.455      
MTREV+I         | 1               | -16059.996      | 32121.994        | 32121.992       | 32127.555      
MTREV+I+G       | 2               | -16062.039      | 32128.084        | 32128.078       | 32139.201      
MTMAM+I+G       | 2               | -16809.092      | 33622.19         | 33622.184       | 33633.31       
MTMAM+G         | 1               | -16812.154      | 33626.312        | 33626.31        | 33631.87       
MTMAM+I         | 1               | -16812.486      | 33626.977        | 33626.973       | 33632.535      
MTMAM           | 0               | -16833.121      | 33666.242        | 33666.242       | 33666.242      
MTART+G         | 1               | -17030.791      | 34063.586        | 34063.582       | 34069.145      
MTART+I+G       | 2               | -17030.797      | 34065.6          | 34065.594       | 34076.72       
MTART+I         | 1               | -17041.994      | 34085.992        | 34085.99        | 34091.55       
MTART           | 0               | -17050.361      | 34100.723        | 34100.723       | 34100.723      
