Model selection results for subset: 2fb1f913df8fc932fb1de8e14e07f102
Subset alignment stored here: ./analysis/phylofiles/2fb1f913df8fc932fb1de8e14e07f102.phy
This subset contains the following data_blocks: recA
Number of columns in subset: 317
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
DCMUT+G+F       | 20              | -2914.6248      | 5872.0874        | 5869.2495       | 5944.4277      
DAYHOFF+G+F     | 20              | -2915.064       | 5872.966         | 5870.128        | 5945.306       
DCMUT+I+G+F     | 21              | -2914.628       | 5874.388         | 5871.256        | 5950.193       
DAYHOFF+I+G+F   | 21              | -2914.9792      | 5875.091         | 5871.9585       | 5950.8955      
DCMUT+F         | 19              | -2917.5852      | 5875.7295        | 5873.1704       | 5944.5894      
DAYHOFF+F       | 19              | -2917.9539      | 5876.467         | 5873.9077       | 5945.3267      
DCMUT+I+F       | 20              | -2917.4885      | 5877.815         | 5874.977        | 5950.1553      
DAYHOFF+I+F     | 20              | -2917.8477      | 5878.533         | 5875.6953       | 5950.8735      
WAG             | 0               | -2949.2383      | 5898.4766        | 5898.4766       | 5898.4766      
WAG+G           | 1               | -2949.2283      | 5900.469         | 5900.4565       | 5904.2153      
WAG+I           | 1               | -2949.2595      | 5900.5317        | 5900.519        | 5904.278       
WAG+I+G         | 2               | -2949.2385      | 5902.515         | 5902.477        | 5909.9946      
MTREV+G+F       | 20              | -2933.1992      | 5909.2363        | 5906.3984       | 5981.5767      
MTREV+I+G+F     | 21              | -2933.2065      | 5911.5454        | 5908.413        | 5987.35        
MTREV+F         | 19              | -2937.26        | 5915.079         | 5912.52         | 5983.939       
MTREV+I+F       | 20              | -2937.2627      | 5917.3633        | 5914.5254       | 5989.7036      
CPREV           | 0               | -2968.0579      | 5936.1157        | 5936.1157       | 5936.1157      
CPREV+G         | 1               | -2967.8018      | 5937.616         | 5937.6035       | 5941.3623      
CPREV+I         | 1               | -2968.069       | 5938.151         | 5938.138        | 5941.897       
CPREV+I+G       | 2               | -2967.7998      | 5939.6377        | 5939.5996       | 5947.117       
HIVB+G+F        | 20              | -2949.5186      | 5941.875         | 5939.037        | 6014.2153      
HIVB+I+F        | 20              | -2949.6345      | 5942.107         | 5939.269        | 6014.4473      
HIVB+I+G+F      | 21              | -2949.323       | 5943.7783        | 5940.646        | 6019.583       
JTT             | 0               | -2972.0493      | 5944.0986        | 5944.0986       | 5944.0986      
HIVB+F          | 19              | -2952.597       | 5945.753         | 5943.194        | 6014.613       
JTT+G           | 1               | -2971.9355      | 5945.884         | 5945.871        | 5949.63        
JTT+I           | 1               | -2972.0623      | 5946.137         | 5946.1245       | 5949.8833      
JTT+I+G         | 2               | -2971.9417      | 5947.9214        | 5947.8833       | 5955.401       
LG              | 0               | -2984.0854      | 5968.171         | 5968.171        | 5968.171       
LG+G            | 1               | -2983.508       | 5969.029         | 5969.016        | 5972.775       
LG+I            | 1               | -2984.1035      | 5970.2197        | 5970.207        | 5973.966       
LG+I+G          | 2               | -2983.517       | 5971.0723        | 5971.034        | 5978.552       
DCMUT+G         | 1               | -3003.914       | 6009.841         | 6009.828        | 6013.587       
DAYHOFF+G       | 1               | -3004.366       | 6010.7446        | 6010.732        | 6014.4907      
DCMUT+I+G       | 2               | -3003.9207      | 6011.8794        | 6011.8413       | 6019.359       
DAYHOFF+I+G     | 2               | -3004.2478      | 6012.5337        | 6012.4956       | 6020.013       
DCMUT           | 0               | -3006.7097      | 6013.4194        | 6013.4194       | 6013.4194      
DAYHOFF         | 0               | -3007.0647      | 6014.1294        | 6014.1294       | 6014.1294      
DCMUT+I         | 1               | -3006.7158      | 6015.4443        | 6015.4316       | 6019.1904      
DAYHOFF+I       | 1               | -3007.0698      | 6016.1523        | 6016.1396       | 6019.8984      
RTREV+G         | 1               | -3012.6084      | 6027.2295        | 6027.217        | 6030.9756      
RTREV           | 0               | -3013.6233      | 6027.2466        | 6027.2466       | 6027.2466      
RTREV+I+G       | 2               | -3012.6187      | 6029.2754        | 6029.2373       | 6036.755       
RTREV+I         | 1               | -3013.6455      | 6029.3037        | 6029.291        | 6033.05        
HIVW+I+F        | 20              | -3017.7588      | 6078.3555        | 6075.5176       | 6150.696       
MTMAM+G+F       | 20              | -3018.378       | 6079.5938        | 6076.756        | 6151.934       
HIVW+I+G+F      | 21              | -3017.6697      | 6080.4717        | 6077.3394       | 6156.2764      
MTART+G+F       | 20              | -3018.8962      | 6080.6304        | 6077.7925       | 6152.9707      
MTMAM+I+G+F     | 21              | -3018.3796      | 6081.8916        | 6078.7593       | 6157.6963      
HIVW+G+F        | 20              | -3019.9753      | 6082.7886        | 6079.9507       | 6155.129       
MTART+I+G+F     | 21              | -3018.899       | 6082.93          | 6079.798        | 6158.735       
MTMAM+I+F       | 20              | -3028.8267      | 6100.491         | 6097.6533       | 6172.8315      
HIVW+F          | 19              | -3030.7676      | 6102.094         | 6099.535        | 6170.954       
MTMAM+F         | 19              | -3033.9717      | 6108.5024        | 6105.9434       | 6177.3623      
MTART+I+F       | 20              | -3033.9512      | 6110.74          | 6107.9023       | 6183.0806      
MTART+F         | 19              | -3039.6904      | 6119.94          | 6117.381        | 6188.8         
HIVB+G          | 1               | -3073.4155      | 6148.8438        | 6148.831        | 6152.59        
HIVB+I+G        | 2               | -3073.4177      | 6150.8735        | 6150.8354       | 6158.353       
HIVB+I          | 1               | -3076.6782      | 6155.369         | 6155.3564       | 6159.115       
HIVB            | 0               | -3078.1921      | 6156.3843        | 6156.3843       | 6156.3843      
MTREV+G         | 1               | -3194.8252      | 6391.663         | 6391.6504       | 6395.409       
MTREV+I+G       | 2               | -3194.8306      | 6393.699         | 6393.661        | 6401.1787      
MTREV           | 0               | -3200.7124      | 6401.425         | 6401.425        | 6401.425       
MTREV+I         | 1               | -3200.7031      | 6403.419         | 6403.4062       | 6407.165       
HIVW+G          | 1               | -3254.4958      | 6511.0044        | 6510.9917       | 6514.7505      
HIVW+I+G        | 2               | -3254.4978      | 6513.0337        | 6512.9956       | 6520.513       
HIVW+I          | 1               | -3264.2017      | 6530.416         | 6530.4033       | 6534.162       
HIVW            | 0               | -3270.135       | 6540.27          | 6540.27         | 6540.27        
MTART+G         | 1               | -3306.198       | 6614.4087        | 6614.396        | 6618.155       
MTART+I+G       | 2               | -3306.201       | 6616.44          | 6616.402        | 6623.9194      
MTMAM+G         | 1               | -3309.9211      | 6621.855         | 6621.8423       | 6625.601       
MTMAM+I+G       | 2               | -3309.9263      | 6623.8906        | 6623.8525       | 6631.37        
MTART+I         | 1               | -3328.495       | 6659.003         | 6658.99         | 6662.749       
MTMAM+I         | 1               | -3334.6707      | 6671.354         | 6671.3413       | 6675.1         
MTART           | 0               | -3338.7168      | 6677.4336        | 6677.4336       | 6677.4336      
MTMAM           | 0               | -3344.0334      | 6688.067         | 6688.067        | 6688.067       
