Model selection results for subset: 33f5cd35c97b5904457cece1d0686447
Subset alignment stored here: ./analysis/phylofiles/33f5cd35c97b5904457cece1d0686447.phy
This subset contains the following data_blocks: dnaK, dnaA
Number of columns in subset: 1000
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
RTREV+F         | 19              | -12937.385      | 25913.545        | 25912.77        | 26006.018      
LG+I+F          | 20              | -12946.668      | 25934.193        | 25933.336       | 26031.49       
JTT+F           | 19              | -12975.874      | 25990.523        | 25989.748       | 26082.996      
MTREV+I+G+F     | 21              | -12982.685      | 26008.314        | 26007.37        | 26110.432      
MTREV+G+F       | 20              | -12988.938      | 26018.734        | 26017.877       | 26116.031      
LG+F            | 19              | -12992.3        | 26023.375        | 26022.6         | 26115.848      
DCMUT+I+G+F     | 21              | -12993.135      | 26029.215        | 26028.27        | 26131.332      
DAYHOFF+I+G+F   | 21              | -12994.244      | 26031.434        | 26030.488       | 26133.55       
DCMUT+G+F       | 20              | -12997.78       | 26036.418        | 26035.56        | 26133.715      
DAYHOFF+G+F     | 20              | -12998.943      | 26038.744        | 26037.887       | 26136.041      
MTREV+I+F       | 20              | -13065.561      | 26171.979        | 26171.121       | 26269.275      
HIVB+I+G+F      | 21              | -13070.495      | 26183.936        | 26182.99        | 26286.053      
DCMUT+I+F       | 20              | -13075.21       | 26191.277        | 26190.42        | 26288.574      
DAYHOFF+I+F     | 20              | -13076.6875     | 26194.232        | 26193.375       | 26291.53       
HIVB+G+F        | 20              | -13081.482      | 26203.822        | 26202.965       | 26301.12       
VT+I+G          | 2               | -13115.754      | 26235.52         | 26235.508       | 26245.324      
VT+I            | 1               | -13117.708      | 26237.42         | 26237.416       | 26242.324      
VT+G            | 1               | -13123.78       | 26249.564        | 26249.56        | 26254.469      
BLOSUM62+I+G    | 2               | -13127.992      | 26259.996        | 26259.984       | 26269.8        
BLOSUM62+I      | 1               | -13132.932      | 26267.867        | 26267.863       | 26272.771      
BLOSUM62+G      | 1               | -13133.675      | 26269.354        | 26269.35        | 26274.258      
VT              | 0               | -13139.37       | 26278.74         | 26278.74        | 26278.74       
MTREV+F         | 19              | -13129.8955     | 26298.566        | 26297.791       | 26391.04       
BLOSUM62        | 0               | -13153.546      | 26307.092        | 26307.092       | 26307.092      
WAG+I+G         | 2               | -13154.439      | 26312.89         | 26312.879       | 26322.695      
DCMUT+F         | 19              | -13138.553      | 26315.88         | 26315.105       | 26408.354      
HIVB+I+F        | 20              | -13137.91       | 26316.678        | 26315.82        | 26413.975      
DAYHOFF+F       | 19              | -13140.39       | 26319.555        | 26318.78        | 26412.027      
WAG+G           | 1               | -13158.945      | 26319.895        | 26319.89        | 26324.799      
WAG+I           | 1               | -13168.424      | 26338.852        | 26338.848       | 26343.756      
WAG             | 0               | -13196.126      | 26392.252        | 26392.252       | 26392.252      
HIVW+I+G+F      | 21              | -13202.113      | 26447.172        | 26446.227       | 26549.29       
JTT+I+G         | 2               | -13224.31       | 26452.63         | 26452.62        | 26462.436      
JTT+G           | 1               | -13234.102      | 26470.207        | 26470.203       | 26475.111      
JTT+I           | 1               | -13234.548      | 26471.1          | 26471.096       | 26476.004      
HIVW+G+F        | 20              | -13218.501      | 26477.86         | 26477.002       | 26575.156      
HIVB+F          | 19              | -13224.346      | 26487.467        | 26486.691       | 26579.94       
MTMAM+I+G+F     | 21              | -13249.697      | 26542.34         | 26541.395       | 26644.457      
CPREV+I+G       | 2               | -13269.201      | 26542.414        | 26542.402       | 26552.219      
JTT             | 0               | -13275.224      | 26550.447        | 26550.447       | 26550.447      
CPREV+G         | 1               | -13276.441      | 26554.887        | 26554.883       | 26559.791      
MTMAM+G+F       | 20              | -13266.056      | 26572.969        | 26572.111       | 26670.266      
LG+I+G          | 2               | -13285.14       | 26574.291        | 26574.28        | 26584.096      
LG+G            | 1               | -13290.117      | 26582.238        | 26582.234       | 26587.143      
CPREV+I         | 1               | -13297.875      | 26597.754        | 26597.75        | 26602.658      
HIVW+I+F        | 20              | -13304.096      | 26649.049        | 26648.191       | 26746.346      
LG+I            | 1               | -13326.793      | 26655.59         | 26655.586       | 26660.494      
DCMUT+I+G       | 2               | -13339.638      | 26683.287        | 26683.275       | 26693.092      
DAYHOFF+I+G     | 2               | -13340.93       | 26685.871        | 26685.86        | 26695.676      
DCMUT+G         | 1               | -13344.674      | 26691.352        | 26691.348       | 26696.256      
CPREV           | 0               | -13345.798      | 26691.596        | 26691.596       | 26691.596      
DAYHOFF+G       | 1               | -13346.0        | 26694.004        | 26694.0         | 26698.908      
LG              | 0               | -13373.517      | 26747.033        | 26747.033       | 26747.033      
MTMAM+I+F       | 20              | -13354.814      | 26750.486        | 26749.629       | 26847.783      
RTREV+I+G       | 2               | -13378.486      | 26760.984        | 26760.973       | 26770.79       
MTART+I+G+F     | 21              | -13361.176      | 26765.297        | 26764.352       | 26867.414      
RTREV+G         | 1               | -13383.371      | 26768.746        | 26768.742       | 26773.65       
DCMUT+I         | 1               | -13390.554      | 26783.111        | 26783.107       | 26788.016      
DAYHOFF+I       | 1               | -13392.307      | 26786.617        | 26786.613       | 26791.521      
MTART+G+F       | 20              | -13375.462      | 26791.781        | 26790.924       | 26889.078      
RTREV+I         | 1               | -13411.248      | 26824.5          | 26824.496       | 26829.404      
DCMUT           | 0               | -13446.797      | 26893.594        | 26893.594       | 26893.594      
DAYHOFF         | 0               | -13448.891      | 26897.781        | 26897.781       | 26897.781      
RTREV           | 0               | -13451.976      | 26903.951        | 26903.951       | 26903.951      
HIVW+F          | 19              | -13441.893      | 26922.56         | 26921.785       | 27015.033      
MTMAM+F         | 19              | -13467.017      | 26972.809        | 26972.033       | 27065.281      
HIVB+I+G        | 2               | -13490.096      | 26984.203        | 26984.191       | 26994.008      
HIVB+G          | 1               | -13500.822      | 27003.648        | 27003.645       | 27008.553      
HIVB+I          | 1               | -13543.316      | 27088.637        | 27088.633       | 27093.541      
MTART+I+F       | 20              | -13536.451      | 27113.76         | 27112.902       | 27211.057      
HIVB            | 0               | -13625.543      | 27251.086        | 27251.086       | 27251.086      
MTART+F         | 19              | -13671.276      | 27381.328        | 27380.553       | 27473.8        
HIVW+I+G        | 2               | -14070.8        | 28145.611        | 28145.6         | 28155.416      
HIVW+G          | 1               | -14078.285      | 28158.574        | 28158.57        | 28163.479      
MTREV+I+G       | 2               | -14190.337      | 28384.686        | 28384.674       | 28394.49       
HIVW+I          | 1               | -14194.51       | 28391.023        | 28391.02        | 28395.928      
MTREV+G         | 1               | -14201.556      | 28405.115        | 28405.111       | 28410.02       
MTREV+I         | 1               | -14287.211      | 28576.426        | 28576.422       | 28581.33       
HIVW            | 0               | -14310.731      | 28621.463        | 28621.463       | 28621.463      
MTREV           | 0               | -14378.025      | 28756.05         | 28756.05        | 28756.05       
MTMAM+I+G       | 2               | -14511.232      | 29026.477        | 29026.465       | 29036.281      
MTMAM+G         | 1               | -14536.177      | 29074.357        | 29074.354       | 29079.262      
MTMAM+I         | 1               | -14632.279      | 29266.562        | 29266.559       | 29271.467      
MTART+I+G       | 2               | -14675.687      | 29355.385        | 29355.373       | 29365.19       
MTART+G         | 1               | -14696.688      | 29395.38         | 29395.377       | 29400.285      
MTMAM           | 0               | -14790.298      | 29580.596        | 29580.596       | 29580.596      
MTART+I         | 1               | -14852.899      | 29707.803        | 29707.799       | 29712.707      
MTART           | 0               | -15027.796      | 30055.592        | 30055.592       | 30055.592      
